Date,Ticker,Normalized_Close,Daily_Return,Sector
4/01/2021,^AXJO,100,0,Index
4/01/2021,ATEC.AX,100,0,Technology
4/01/2021,MVR.AX,100,0,Resources
4/01/2021,QFN.AX,100,0,Financials
4/01/2021,SLF.AX,100,0,Property
5/01/2021,^AXJO,100.3016036,0.003016036,Index
5/01/2021,ATEC.AX,100.8499368,0.008499368,Technology
5/01/2021,MVR.AX,98.79880841,-0.012011916,Resources
5/01/2021,QFN.AX,99.27124883,-0.007287512,Financials
5/01/2021,SLF.AX,99.96558611,-0.000344139,Property
6/01/2021,^AXJO,97.37184004,-0.029209538,Index
6/01/2021,ATEC.AX,100.2615303,-0.005834476,Technology
6/01/2021,MVR.AX,98.29831736,-0.00506576,Resources
6/01/2021,QFN.AX,98.70445231,-0.005709574,Financials
6/01/2021,SLF.AX,98.84653219,-0.011194392,Property
7/01/2021,^AXJO,95.0021691,-0.024336307,Index
7/01/2021,ATEC.AX,103.9555393,0.036843732,Technology
7/01/2021,MVR.AX,101.401412,0.031568135,Resources
7/01/2021,QFN.AX,97.89472879,-0.008203516,Financials
7/01/2021,SLF.AX,100.4159032,0.015876845,Property
8/01/2021,^AXJO,96.68247275,0.017687003,Index
8/01/2021,ATEC.AX,103.5632585,-0.003773544,Technology
8/01/2021,MVR.AX,101.401412,0,Resources
8/01/2021,QFN.AX,96.7611258,-0.011579816,Financials
8/01/2021,SLF.AX,101.1025957,0.006838484,Property
11/01/2021,^AXJO,95.17450661,-0.015597099,Index
11/01/2021,ATEC.AX,102.6479172,-0.008838476,Technology
11/01/2021,MVR.AX,101.6016106,0.001974318,Resources
11/01/2021,QFN.AX,95.95140227,-0.008368273,Financials
11/01/2021,SLF.AX,100.1944885,-0.008982037,Property
12/01/2021,^AXJO,94.39896194,-0.00814866,Index
12/01/2021,ATEC.AX,101.9614258,-0.006687825,Technology
12/01/2021,MVR.AX,102.8028239,0.011822779,Resources
12/01/2021,QFN.AX,95.06072628,-0.009282574,Financials
12/01/2021,SLF.AX,99.92369921,-0.002702636,Property
13/01/2021,^AXJO,93.62343452,-0.008215423,Index
13/01/2021,ATEC.AX,103.5305636,0.015389523,Technology
13/01/2021,MVR.AX,102.5024988,-0.00292137,Resources
13/01/2021,QFN.AX,93.11740971,-0.020442896,Financials
13/01/2021,SLF.AX,100.0359041,0.001122906,Property
14/01/2021,^AXJO,96.25162035,0.02807188,Index
14/01/2021,ATEC.AX,102.8440576,-0.00663095,Technology
14/01/2021,MVR.AX,103.6036183,0.010742368,Resources
14/01/2021,QFN.AX,94.97974399,0.019999851,Financials
14/01/2021,SLF.AX,100.4652705,0.004292123,Property
15/01/2021,^AXJO,98.14735883,0.019695653,Index
15/01/2021,ATEC.AX,104.2824448,0.0139861,Technology
15/01/2021,MVR.AX,103.8038169,0.001932351,Resources
15/01/2021,QFN.AX,95.95140227,0.010230163,Financials
15/01/2021,SLF.AX,100.466768,1.49E-05,Property
18/01/2021,^AXJO,98.36277641,0.002194838,Index
18/01/2021,ATEC.AX,101.8960359,-0.02288409,Technology
18/01/2021,MVR.AX,102.0020186,-0.017357727,Resources
18/01/2021,QFN.AX,95.62752281,-0.003375453,Financials
18/01/2021,SLF.AX,99.68283123,-0.007802946,Property
19/01/2021,^AXJO,99.74148511,0.01401657,Index
19/01/2021,ATEC.AX,102.8767452,0.009624606,Technology
19/01/2021,MVR.AX,103.6036183,0.015701647,Resources
19/01/2021,QFN.AX,96.11334698,0.00508038,Financials
19/01/2021,SLF.AX,100.8737007,0.011946585,Property
20/01/2021,^AXJO,101.9819159,0.022462376,Index
20/01/2021,ATEC.AX,103.7593989,0.00857972,Technology
20/01/2021,MVR.AX,103.4034088,-0.001932457,Resources
20/01/2021,QFN.AX,96.19430939,0.000842364,Financials
20/01/2021,SLF.AX,101.2896039,0.00412301,Property
21/01/2021,^AXJO,103.920743,0.01901148,Index
21/01/2021,ATEC.AX,104.2824448,0.00504095,Technology
21/01/2021,MVR.AX,104.1040985,0.006776272,Resources
21/01/2021,QFN.AX,96.35627398,0.001683723,Financials
21/01/2021,SLF.AX,102.0870111,0.007872547,Property
22/01/2021,^AXJO,102.1973248,-0.016583967,Index
22/01/2021,ATEC.AX,102.9094474,-0.013166141,Technology
22/01/2021,MVR.AX,103.7037122,-0.003846019,Resources
22/01/2021,QFN.AX,96.2752718,-0.000840653,Financials
22/01/2021,SLF.AX,101.7384235,-0.003414613,Property
25/01/2021,^AXJO,103.4468019,0.012226124,Index
25/01/2021,ATEC.AX,102.7132997,-0.001906022,Technology
25/01/2021,MVR.AX,103.5035245,-0.001930381,Resources
25/01/2021,QFN.AX,100.1619447,0.040370417,Financials
25/01/2021,SLF.AX,102.1019718,0.003573362,Property
27/01/2021,^AXJO,104.6962618,0.012078284,Index
27/01/2021,ATEC.AX,99.93461743,-0.0270528,Technology
27/01/2021,MVR.AX,104.0040046,0.004835392,Resources
27/01/2021,QFN.AX,96.35627398,-0.037995176,Financials
27/01/2021,SLF.AX,101.4422055,-0.006461837,Property
28/01/2021,^AXJO,100.6462872,-0.038683087,Index
28/01/2021,ATEC.AX,96.99248968,-0.029440526,Technology
28/01/2021,MVR.AX,102.1021125,-0.01828672,Resources
28/01/2021,QFN.AX,95.62752281,-0.00756309,Financials
28/01/2021,SLF.AX,99.48385747,-0.019305062,Property
29/01/2021,^AXJO,100.0430887,-0.005993252,Index
29/01/2021,ATEC.AX,95.75025748,-0.012807509,Technology
29/01/2021,MVR.AX,100.9008991,-0.011764824,Resources
29/01/2021,QFN.AX,94.97974399,-0.006773979,Financials
29/01/2021,SLF.AX,98.85101746,-0.006361233,Property
1/02/2021,^AXJO,99.52607616,-0.005167899,Index
1/02/2021,ATEC.AX,96.40404656,0.006828066,Technology
1/02/2021,MVR.AX,101.5015167,0.005952549,Resources
1/02/2021,QFN.AX,95.22268093,0.002557776,Financials
1/02/2021,SLF.AX,99.68283123,0.008414823,Property
2/02/2021,^AXJO,103.0159495,0.035064915,Index
2/02/2021,ATEC.AX,97.7443636,0.01390312,Technology
2/02/2021,MVR.AX,103.203232,0.016765418,Resources
2/02/2021,QFN.AX,95.78949733,0.005952536,Financials
2/02/2021,SLF.AX,101.1729137,0.014948236,Property
3/02/2021,^AXJO,104.179232,0.011292256,Index
3/02/2021,ATEC.AX,97.64629341,-0.001003333,Technology
3/02/2021,MVR.AX,105.3053118,0.020368353,Resources
3/02/2021,QFN.AX,97.97572102,0.022823209,Financials
3/02/2021,SLF.AX,102.1004742,0.009168071,Property
4/02/2021,^AXJO,103.7483969,-0.004135519,Index
4/02/2021,ATEC.AX,96.79634197,-0.00870439,Technology
4/02/2021,MVR.AX,104.6046113,-0.00665399,Resources
4/02/2021,QFN.AX,96.03237463,-0.019834979,Financials
